user,date,cluster,cluster_name
138,2022-04-08 09:44:09,10,bytearray(b'Achiever')
138,2022-04-11 18:18:27,10,bytearray(b'Achiever')
138,2022-04-19 13:00:42,10,bytearray(b'Achiever')
138,2022-04-26 19:31:44,10,bytearray(b'Achiever')
138,2022-05-05 17:26:32,10,bytearray(b'Achiever')
139,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
139,2022-03-20 12:12:27,12,bytearray(b'Halfhearted')
139,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
139,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
139,2022-04-19 13:00:42,15,bytearray(b'Regular_halfheartedlike')
139,2022-04-26 19:31:44,15,bytearray(b'Regular_halfheartedlike')
139,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
140,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
140,2022-03-20 12:12:27,12,bytearray(b'Halfhearted')
140,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
140,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
140,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
140,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
140,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
141,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
141,2022-03-20 12:12:27,12,bytearray(b'Halfhearted')
141,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
141,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
141,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
141,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
141,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
142,2022-03-15 22:31:32,11,bytearray(b'Regular')
142,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
142,2022-04-08 09:44:09,15,bytearray(b'Regular_halfheartedlike')
142,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
142,2022-04-19 13:00:42,15,bytearray(b'Regular_halfheartedlike')
142,2022-04-26 19:31:44,15,bytearray(b'Regular_halfheartedlike')
142,2022-05-05 17:26:32,15,bytearray(b'Regular_halfheartedlike')
143,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
143,2022-03-20 12:12:27,12,bytearray(b'Halfhearted')
143,2022-04-08 09:44:09,13,bytearray(b'Underachiever')
143,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
143,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
143,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
143,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
144,2022-03-15 22:31:32,11,bytearray(b'Regular')
144,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
144,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
144,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
144,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
144,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
144,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
145,2022-03-15 22:31:32,11,bytearray(b'Regular')
145,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
145,2022-04-08 09:44:09,15,bytearray(b'Regular_halfheartedlike')
145,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
145,2022-04-19 13:00:42,15,bytearray(b'Regular_halfheartedlike')
145,2022-04-26 19:31:44,15,bytearray(b'Regular_halfheartedlike')
145,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
146,2022-03-15 22:31:32,10,bytearray(b'Achiever')
146,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
146,2022-04-08 09:44:09,15,bytearray(b'Regular_halfheartedlike')
146,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
146,2022-04-19 13:00:42,15,bytearray(b'Regular_halfheartedlike')
146,2022-04-26 19:31:44,15,bytearray(b'Regular_halfheartedlike')
146,2022-05-05 17:26:32,15,bytearray(b'Regular_halfheartedlike')
147,2022-03-15 22:31:32,10,bytearray(b'Achiever')
