user,date,cluster,cluster_name
124,2022-04-19 13:00:42,12,Halfhearted
124,2022-04-26 19:31:44,13,Underachiever
124,2022-05-05 17:26:32,13,Underachiever
125,2022-03-15 22:31:32,11,Regular
125,2022-03-20 12:12:27,10,Achiever
125,2022-04-08 09:44:09,10,Achiever
125,2022-04-11 18:18:27,10,Achiever
125,2022-04-19 13:00:42,10,Achiever
125,2022-04-26 19:31:44,10,Achiever
125,2022-05-05 17:26:32,14,Regular_achieverlike
126,2022-03-15 22:31:32,10,Achiever
126,2022-03-20 12:12:27,14,Regular_achieverlike
126,2022-04-08 09:44:09,12,Halfhearted
126,2022-04-11 18:18:27,12,Halfhearted
126,2022-04-19 13:00:42,13,Underachiever
126,2022-04-26 19:31:44,13,Underachiever
126,2022-05-05 17:26:32,13,Underachiever
127,2022-03-15 22:31:32,10,Achiever
127,2022-03-20 12:12:27,15,Regular_halfheartedlike
127,2022-04-08 09:44:09,12,Halfhearted
127,2022-04-11 18:18:27,12,Halfhearted
127,2022-04-19 13:00:42,12,Halfhearted
127,2022-04-26 19:31:44,15,Regular_halfheartedlike
127,2022-05-05 17:26:32,15,Regular_halfheartedlike
128,2022-03-15 22:31:32,13,Underachiever
128,2022-03-20 12:12:27,13,Underachiever
129,2022-03-15 22:31:32,11,Regular
129,2022-03-20 12:12:27,15,Regular_halfheartedlike
129,2022-04-08 09:44:09,12,Halfhearted
129,2022-04-11 18:18:27,12,Halfhearted
129,2022-04-19 13:00:42,12,Halfhearted
129,2022-04-26 19:31:44,12,Halfhearted
129,2022-05-05 17:26:32,12,Halfhearted
130,2022-03-15 22:31:32,12,Halfhearted
130,2022-03-20 12:12:27,14,Regular_achieverlike
130,2022-04-08 09:44:09,12,Halfhearted
130,2022-04-11 18:18:27,12,Halfhearted
130,2022-04-19 13:00:42,12,Halfhearted
130,2022-04-26 19:31:44,12,Halfhearted
130,2022-05-05 17:26:32,12,Halfhearted
131,2022-03-15 22:31:32,13,Underachiever
131,2022-03-20 12:12:27,13,Underachiever
132,2022-03-15 22:31:32,12,Halfhearted
132,2022-03-20 12:12:27,14,Regular_achieverlike
132,2022-04-08 09:44:09,12,Halfhearted
132,2022-04-11 18:18:27,12,Halfhearted
132,2022-04-19 13:00:42,12,Halfhearted
132,2022-04-26 19:31:44,12,Halfhearted
132,2022-05-05 17:26:32,12,Halfhearted
133,2022-03-15 22:31:32,11,Regular
133,2022-03-20 12:12:27,15,Regular_halfheartedlike
133,2022-04-08 09:44:09,15,Regular_halfheartedlike
133,2022-04-11 18:18:27,15,Regular_halfheartedlike
133,2022-04-19 13:00:42,10,Achiever
133,2022-04-26 19:31:44,14,Regular_achieverlike
133,2022-05-05 17:26:32,11,Regular
134,2022-03-15 22:31:32,12,Halfhearted
134,2022-03-20 12:12:27,15,Regular_halfheartedlike
134,2022-04-08 09:44:09,12,Halfhearted
134,2022-04-11 18:18:27,12,Halfhearted
134,2022-04-19 13:00:42,12,Halfhearted
134,2022-04-26 19:31:44,12,Halfhearted
134,2022-05-05 17:26:32,12,Halfhearted
135,2022-03-15 22:31:32,10,Achiever
135,2022-03-20 12:12:27,15,Regular_halfheartedlike
135,2022-04-08 09:44:09,10,Achiever
135,2022-04-11 18:18:27,14,Regular_achieverlike
135,2022-04-19 13:00:42,10,Achiever
135,2022-04-26 19:31:44,10,Achiever
135,2022-05-05 17:26:32,10,Achiever
136,2022-03-15 22:31:32,10,Achiever
136,2022-03-20 12:12:27,14,Regular_achieverlike
136,2022-04-08 09:44:09,10,Achiever
136,2022-04-11 18:18:27,14,Regular_achieverlike
136,2022-04-19 13:00:42,10,Achiever
136,2022-04-26 19:31:44,10,Achiever
136,2022-05-05 17:26:32,10,Achiever
137,2022-03-15 22:31:32,10,Achiever
137,2022-03-20 12:12:27,10,Achiever
137,2022-04-08 09:44:09,10,Achiever
137,2022-04-11 18:18:27,10,Achiever
137,2022-04-19 13:00:42,10,Achiever
137,2022-04-26 19:31:44,10,Achiever
137,2022-05-05 17:26:32,10,Achiever
138,2022-03-15 22:31:32,10,Achiever
138,2022-03-20 12:12:27,10,Achiever
138,2022-04-08 09:44:09,10,Achiever
138,2022-04-11 18:18:27,10,Achiever
138,2022-04-19 13:00:42,10,Achiever
138,2022-04-26 19:31:44,10,Achiever
138,2022-05-05 17:26:32,10,Achiever
139,2022-03-15 22:31:32,12,Halfhearted
139,2022-03-20 12:12:27,12,Halfhearted
139,2022-04-08 09:44:09,12,Halfhearted
139,2022-04-11 18:18:27,12,Halfhearted
139,2022-04-19 13:00:42,15,Regular_halfheartedlike
139,2022-04-26 19:31:44,15,Regular_halfheartedlike
139,2022-05-05 17:26:32,12,Halfhearted
140,2022-03-15 22:31:32,13,Underachiever
140,2022-03-20 12:12:27,12,Halfhearted
140,2022-04-08 09:44:09,12,Halfhearted
140,2022-04-11 18:18:27,12,Halfhearted
140,2022-04-19 13:00:42,12,Halfhearted
140,2022-04-26 19:31:44,12,Halfhearted
140,2022-05-05 17:26:32,12,Halfhearted
141,2022-03-15 22:31:32,12,Halfhearted
141,2022-03-20 12:12:27,12,Halfhearted
141,2022-04-08 09:44:09,12,Halfhearted
141,2022-04-11 18:18:27,12,Halfhearted
