user,15 3 2022,20 3 2022,08 4 2022,11 4 2022,19 4 2022,26 4 2022,05 5 2022
143,Halfhearted,Halfhearted,Underachiever,Halfhearted,Halfhearted,Halfhearted,Halfhearted
144,Regular,Regular_halfheartedlike,Halfhearted,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted
145,Regular,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Halfhearted
146,Achiever,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,
147,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,
148,Regular,Regular_achieverlike,Achiever,Achiever,Achiever,Achiever,Achiever,
149,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,
150,Regular,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,
151,Halfhearted,Regular_halfheartedlike,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
152,Regular,Achiever,Regular_achieverlike,Achiever,Achiever,Achiever,Regular_achieverlike,
153,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,
154,Achiever,Achiever,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Achiever,Regular_achieverlike,
155,Regular,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,
156,Halfhearted,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Halfhearted,Halfhearted,Halfhearted
157,Halfhearted,Regular_achieverlike,Regular_achieverlike,Achiever,Achiever,Achiever,Regular_achieverlike,
158,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,Achiever,
159,Halfhearted,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,
160,Achiever,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,Regular_halfheartedlike,
161,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted,Halfhearted
162,Regular,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,
163,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
164,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
165,Regular,Regular_halfheartedlike,Achiever,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,Regular_achieverlike,
166,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
167,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever,Underachiever
168,Underachiever,Halfhearted,Halfhearted,Halfhearted,Underachiever,Underachiever,Halfhearted
